prohibit,금지하다
prolong,"늘리다, 연장하다"
prominet,두드러진
prompt,신속한
prone,"~하기 쉬운, ~경향이 있는"
proportion,비율
prosperous,"번영하는, 번창한"
provision,"조항, 공급"
proximity,근접
puddle,웅덩이
punctual,시간을 지키는
pursue,"추구하다, 밀고 나가다"
quote,인용하다
raw materials,원자재
reconcile,화해시키다
rectify,"고치다, 바로잡다"
reference,추천서
refrain from ~ing,"~을 그만두다, 삼가다"
regulate,"규제하다, 조정하다"
reimburse,"변상하다, 환급하다"
rein,억제하다
relevant,관련된
relieve,경감하다
reluctant,"꺼리는, 주저하는"
remedy,바로 잡다
remit,"송금하다, 면제하다"
reoccurrence,재발
respective,각각의
respirator,인공호흡장치
retail,"소매의, 소매하다"
retain,보관하다
retrieve,회수하다
revise,"정정하다, 수정하다"
ridicule,비웃다
rigorous,"엄격한, 혹독한"
rural,시골의
sanctions against,~에 대한 제재
secure a patent,특허를 획득하다
shred,"잘게 자르다, 찢다"
shrub,관목
significant,"상당한, 의미있는, 중대한"
sparsely,"희박하게, 드문드문"
specify,명시하다
standing ovation,기립박수
sternly,엄격하게
stimulate,"자극하다, 촉진하다"
stipulate,규정하다
stock farmer,목축업자
stingently,엄중하게
strive to,~하기 위해 노력하다
subject to,~을 겪게 하다
submit,제출하다
subsequent,"다음의, 그후의"
supplement,"보충하다, 메우다"
suspicious,의심하는
sustain,"지탱하다, 유지하다"
symptom,증상
tailor A to B,A를 B에 맞추다
take into account,~을 고려하다
take it back,취소하다
tedious,지루한
tentatively,임시로
testify,증언하다
to some extent,어느 정도
trivia,사소한 일
tuition,수업료
turmoil,"혼란, 소란"
twofold,두 부분의
undergo,겪다
upkeep,"양육, 유지"
utmost,최대의
utilize,활용하다
vaguely,"모호하게, 막연히"
valid,"유요한, 합법적인"
variable,변하기 쉬운
vastly,"방대하게, 대단히"
verbalize,말로 나타내다
verify,확인하다
versatile,다용도의
vital,"중요한, 필수적인"
waive,"면제하다, 포기하다"
weightlessness,무중력
willingly,"기꺼이, 자진해서"
workmanship,"기량, 솜씨"
worrisome,걱정스러운
